W(MeV)	Re(+)+	Im(+)+	Re(+)-	Im(+)-
1080.0	    3.588	    0.039	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.078	    0.052	    0.000	    0.000
      	   -0.140	    0.000	    0.000	    0.000
      	    1.358	    0.002	   -1.305	    0.001
      	   -0.303	    0.000	    0.288	    0.000
      	    0.003	    0.000	   -0.039	    0.000
      	   -0.023	    0.000	    0.003	    0.000
      	   -0.001	    0.000	    0.004	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1085.0	    3.512	    0.097	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.095	    0.127	    0.000	    0.000
      	   -0.179	   -0.002	    0.000	    0.000
      	    1.837	    0.013	   -1.663	    0.003
      	   -0.392	   -0.003	    0.373	   -0.001
      	    0.005	    0.000	   -0.066	    0.000
      	   -0.038	    0.000	    0.006	    0.000
      	   -0.002	    0.000	    0.006	    0.000
      	    0.000	    0.000	    0.005	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1090.0	    3.439	    0.134	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.113	    0.173	    0.000	    0.000
      	   -0.207	   -0.004	    0.000	    0.000
      	    2.254	    0.033	   -1.920	    0.007
      	   -0.459	   -0.007	    0.439	   -0.002
      	    0.006	    0.000	   -0.092	    0.000
      	   -0.053	    0.000	    0.009	    0.000
      	   -0.003	    0.000	    0.008	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.001	    0.000
      	    0.000	    0.000	   -0.001	    0.000
      	   -0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1095.0	    3.368	    0.162	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.131	    0.215	    0.000	    0.000
      	   -0.229	   -0.008	    0.000	    0.000
      	    2.643	    0.066	   -2.116	    0.011
      	   -0.516	   -0.013	    0.494	   -0.003
      	    0.008	    0.000	   -0.116	    0.000
      	   -0.066	    0.000	    0.012	    0.000
      	   -0.004	    0.000	    0.010	    0.000
      	   -0.001	    0.000	    0.011	    0.000
      	    0.008	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.001	    0.000
      	    0.000	    0.000	   -0.001	    0.000
      	   -0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1100.0	    3.302	    0.176	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.150	    0.242	    0.000	    0.000
      	   -0.248	   -0.013	    0.000	    0.000
      	    3.021	    0.114	   -2.272	    0.016
      	   -0.565	   -0.021	    0.542	   -0.005
      	    0.009	    0.000	   -0.138	    0.000
      	   -0.078	    0.000	    0.015	    0.000
      	   -0.004	    0.000	    0.011	    0.000
      	   -0.001	    0.000	    0.014	    0.000
      	    0.011	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.001	    0.000
      	    0.000	    0.000	   -0.002	    0.000
      	   -0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1105.0	    3.237	    0.191	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.169	    0.271	    0.000	    0.000
      	   -0.263	   -0.020	    0.000	    0.000
      	    3.397	    0.178	   -2.399	    0.021
      	   -0.609	   -0.032	    0.585	   -0.006
      	    0.010	    0.000	   -0.159	    0.000
      	   -0.089	    0.000	    0.018	    0.000
      	   -0.005	    0.000	    0.012	    0.000
      	   -0.001	    0.000	    0.017	    0.000
      	    0.013	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.002	    0.000
      	    0.000	    0.000	   -0.002	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1110.0	    3.173	    0.207	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.189	    0.301	    0.000	    0.000
      	   -0.276	   -0.027	    0.000	    0.000
      	    3.777	    0.261	   -2.502	    0.027
      	   -0.650	   -0.046	    0.625	   -0.007
      	    0.011	    0.000	   -0.179	    0.000
      	   -0.099	    0.000	    0.021	    0.000
      	   -0.005	    0.000	    0.013	    0.000
      	   -0.002	    0.000	    0.021	    0.000
      	    0.016	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.002	    0.000
      	    0.000	    0.000	   -0.003	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1115.0	    3.112	    0.220	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.209	    0.330	    0.000	    0.000
      	   -0.288	   -0.037	    0.000	    0.000
      	    4.166	    0.366	   -2.587	    0.032
      	   -0.688	   -0.062	    0.662	   -0.008
      	    0.011	    0.000	   -0.198	    0.000
      	   -0.108	    0.000	    0.024	    0.000
      	   -0.006	    0.000	    0.014	   -0.001
      	   -0.002	    0.000	    0.024	    0.000
      	    0.018	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.002	    0.000
      	    0.000	    0.000	   -0.004	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1120.0	    3.054	    0.232	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.229	    0.357	    0.000	    0.000
      	   -0.299	   -0.048	    0.000	    0.000
      	    4.566	    0.498	   -2.657	    0.038
      	   -0.725	   -0.082	    0.697	   -0.009
      	    0.012	    0.000	   -0.216	    0.000
      	   -0.117	    0.000	    0.027	    0.000
      	   -0.006	    0.000	    0.014	   -0.001
      	   -0.002	    0.000	    0.027	    0.000
      	    0.021	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.002	    0.000
      	    0.000	    0.000	   -0.005	    0.000
      	   -0.003	    0.000	    0.000	    0.000
