W(MeV)	Re(-)+	Im(-)+	Re(-)-	Im(-)-
1080.0	    2.003	    0.056	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.497	    0.013	    0.000	    0.000
      	    0.171	    0.000	    0.000	    0.000
      	   -0.933	   -0.001	   -0.992	    0.000
      	    0.192	    0.000	    0.817	    0.000
      	   -0.001	    0.000	    0.042	    0.000
      	    0.025	    0.000	    0.000	    0.000
      	    0.003	    0.000	   -0.005	    0.000
      	    0.000	    0.000	   -0.002	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1085.0	    2.025	    0.137	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.493	    0.032	    0.000	    0.000
      	    0.221	    0.001	    0.000	    0.000
      	   -1.246	   -0.006	   -1.253	    0.002
      	    0.251	    0.001	    1.057	   -0.002
      	   -0.002	    0.000	    0.070	    0.000
      	    0.041	    0.000	   -0.001	    0.000
      	    0.005	    0.000	   -0.008	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1090.0	    2.046	    0.185	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.489	    0.043	    0.000	    0.000
      	    0.259	    0.002	    0.000	    0.000
      	   -1.509	   -0.016	   -1.435	    0.004
      	    0.297	    0.003	    1.240	   -0.004
      	   -0.002	    0.000	    0.097	    0.000
      	    0.057	    0.000	   -0.001	    0.000
      	    0.007	    0.000	   -0.010	    0.000
      	    0.001	    0.000	   -0.008	    0.000
      	   -0.006	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1095.0	    2.065	    0.222	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.485	    0.048	    0.000	    0.000
      	    0.290	    0.004	    0.000	    0.000
      	   -1.747	   -0.032	   -1.571	    0.007
      	    0.336	    0.006	    1.388	   -0.006
      	   -0.002	    0.000	    0.123	    0.000
      	    0.071	    0.000	   -0.002	    0.000
      	    0.008	    0.000	   -0.013	    0.000
      	    0.001	    0.000	   -0.011	    0.000
      	   -0.008	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1100.0	    2.084	    0.241	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.482	    0.047	    0.000	    0.000
      	    0.316	    0.006	    0.000	    0.000
      	   -1.972	   -0.056	   -1.675	    0.011
      	    0.371	    0.010	    1.514	   -0.010
      	   -0.001	    0.000	    0.148	    0.000
      	    0.084	    0.000	   -0.002	    0.000
