W(MeV)	Re(0)+	Im(0)+	Re(0)-	Im(0)-
1080.0	    0.776	    0.015	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.740	   -0.035	    0.000	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.088	    0.000	   -0.355	    0.000
      	    0.005	    0.000	    0.374	    0.000
      	    0.000	    0.000	   -0.011	    0.000
      	   -0.004	    0.000	    0.001	    0.000
      	   -0.002	    0.000	    0.015	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.001	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1085.0	    0.774	    0.038	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.700	   -0.083	    0.000	    0.000
      	    0.009	    0.000	    0.000	    0.000
      	    0.113	    0.000	   -0.457	    0.001
      	    0.005	    0.000	    0.474	   -0.001
      	    0.001	    0.000	   -0.019	    0.000
      	   -0.007	    0.000	    0.002	    0.000
      	   -0.003	    0.000	    0.025	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1090.0	    0.772	    0.052	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.661	   -0.111	    0.000	    0.000
      	    0.011	    0.000	    0.000	    0.000
      	    0.132	    0.000	   -0.533	    0.002
      	    0.004	    0.000	    0.545	   -0.002
      	    0.001	    0.000	   -0.027	    0.000
      	   -0.010	    0.000	    0.002	    0.000
      	   -0.004	    0.000	    0.034	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.003	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1095.0	    0.770	    0.062	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -1.624	   -0.131	    0.000	    0.000
      	    0.013	    0.000	    0.000	    0.000
      	    0.147	    0.000	   -0.594	    0.003
      	    0.002	    0.000	    0.598	   -0.003
      	    0.001	    0.000	   -0.034	    0.000
      	   -0.013	    0.000	    0.003	    0.000
      	   -0.005	    0.000	    0.043	    0.000
