	W(MeV)	Re(0)	Im(0)	Re(+)	Im(+)	Re(-)	Im(-)	wlab(MeV)	wcm(MeV)
0	1080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1085.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	1090.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1095.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	1115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	1120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	1125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	1130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	1135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	1140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	1145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	1150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	1155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	1160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	1165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	1175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	1180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	1195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	1200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	1210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	1215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	1220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	1230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	1235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	1240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	1245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	1250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	1255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	1260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	1265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	1270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	1275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	1280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	1285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	1290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	1295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	1300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	1305.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	1310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	1315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	1320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	1325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	1330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	1335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	1340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	1345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	1350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	1355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	1360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	1365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	1370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	1375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	1380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	1385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	1390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	1395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	1400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	1405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	1410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	1415.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	1420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	1425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
